PROLIFIC_PID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9,DemC23
5e5c03ab6a255b3ece760715,2.0,2.0,2.0,3.0,15.0,62.0,2.0,2.0,5.0,7.0
5d365ac1da79130001355977,2.0,1.0,3.0,3.0,33.0,33.0,2.0,1.0,5.0,5.0
5b0594ff92e94c0001e20425,2.0,1.0,2.0,2.0,25.0,33.0,1.0,2.0,5.0,4.0
5e6f275c4acb204e832ad749,2.0,1.0,2.0,2.0,47.0,28.0,2.0,2.0,5.0,6.0
57d6dd8d6598aa000199188b,1.0,5.0,2.0,2.0,5.0,30.0,2.0,2.0,2.0,5.0
5cf2cf83fa50130001836b73,1.0,4.0,2.0,1.0,5.0,34.0,2.0,2.0,5.0,7.0
5c89de0891d8a80016a92f1e,1.0,1.0,2.0,2.0,22.0,51.0,2.0,2.0,5.0,4.0
5c6319a0b73d590001ae789d,1.0,1.0,2.0,3.0,3.0,35.0,1.0,2.0,5.0,4.0
5b4d31673d01bd0001ec447e,2.0,1.0,2.0,1.0,7.0,27.0,1.0,2.0,5.0,6.0
5e31c0590d43621a12346787,1.0,5.0,1.0,5.0,5.0,39.0,1.0,2.0,2.0,5.0
56ddb6596893b5000ce94a3d,1.0,6.0,1.0,7.0,14.0,45.0,2.0,2.0,5.0,9.0
5d0fc3b267111c001a633eb8,1.0,1.0,3.0,3.0,46.0,28.0,1.0,2.0,5.0,3.0
5e49727486e2713edcbdb3fc,2.0,1.0,3.0,3.0,43.0,21.0,2.0,2.0,2.0,3.0
5c024be169406e00014e0b8e,2.0,1.0,2.0,2.0,5.0,25.0,1.0,3.0,6.0,4.0
5e7259b927f38a197716600c,1.0,3.0,2.0,4.0,38.0,28.0,2.0,2.0,2.0,4.0
