PROLIFIC_PID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9
5da362297959a00018726e46,1.0,4.0,1.0,7.0,25.0,27.0,1.0,2.0,5.0
5e727d3f75cb7d1d4f847721,1.0,4.0,2.0,1.0,13.0,42.0,2.0,2.0,5.0
5db88aadfa868a000a9a0ce1,1.0,4.0,3.0,2.0,5.0,45.0,1.0,2.0,5.0
59c3289b8e6ea10001f7b926,1.0,3.0,2.0,3.0,5.0,34.0,2.0,2.0,2.0
5e668af8b5853c403cb8ef4a,1.0,5.0,2.0,2.0,5.0,29.0,1.0,2.0,5.0
5b98a24fb38cca0001437082,1.0,3.0,2.0,3.0,6.0,40.0,1.0,2.0,5.0
58db227dc207720001e2f63a,1.0,3.0,3.0,3.0,21.0,54.0,1.0,2.0,5.0
5e0f66eb54e2f0676f516b27,1.0,3.0,3.0,4.0,33.0,34.0,1.0,2.0,5.0
58f76757fb4d7500014af761,1.0,3.0,1.0,6.0,16.0,27.0,2.0,2.0,5.0
57c725d89a5f4f0001f661bd,1.0,5.0,1.0,6.0,37.0,46.0,1.0,2.0,5.0
58fe3459571f7000011c1be1,1.0,5.0,4.0,2.0,5.0,42.0,1.0,2.0,5.0
5d950548d4ff5900180f87b5,1.0,4.0,2.0,2.0,5.0,34.0,1.0,1.0,5.0
5cf908a436b40600153b3746,1.0,3.0,2.0,1.0,5.0,50.0,2.0,1.0,7.0
5e187afdb3b4bb0238c1e490,1.0,2.0,2.0,6.0,25.0,21.0,1.0,2.0,2.0
59fdb129728b1b0001ad871d,1.0,2.0,2.0,1.0,46.0,42.0,2.0,2.0,6.0
59c6305e6a287600011c388d,1.0,3.0,2.0,1.0,9.0,26.0,1.0,2.0,5.0
5bf2337547415500011598f0,1.0,4.0,3.0,2.0,13.0,36.0,1.0,2.0,5.0
5a8f7e24ae9a0b0001aa4e9c,1.0,6.0,2.0,1.0,37.0,27.0,1.0,1.0,5.0
5c689b1d0487640001026127,1.0,3.0,1.0,6.0,14.0,29.0,2.0,2.0,5.0
5e4dd61e228f8723566e06d4,1.0,3.0,1.0,5.0,5.0,23.0,1.0,2.0,5.0
5b98940f754b700001f0f15c,1.0,1.0,1.0,7.0,4.0,54.0,2.0,2.0,5.0
5d6ef023cfe0a400198f911e,1.0,5.0,3.0,3.0,13.0,30.0,1.0,2.0,5.0
5e1fa6a063251a2de1d6b236,1.0,4.0,2.0,2.0,44.0,34.0,1.0,2.0,5.0
